disease	url	doi	year	dt	variable	estimate	sentence
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		where G, and G, are the mean generation intervals for asymptomatic and symptomatic cases, and kK, and «, are the generation-interval dispersions for asymptomatic and symp- tomatic cases.
covid	https://www.medrxiv.org/content/10.1101/2020.02.21.20026435v6	10.1101/2020.02.21.20026435	2020	2020-02-21	reproduction+number	2009	Estimation of the reproduction number for 2009 pandemic influenza A(H1N1) in the presence of imported cases.
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031880v1	10.1101/2020.03.06.20031880	2020	2020-03-06	asymptomatic		Asymptomatic coronavirus infection: MERS-CoV and SARS
covid	https://www.medrxiv.org/content/10.1101/2020.03.06.20031880v1	10.1101/2020.03.06.20031880	2020	2020-03-06	asymptomatic		Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.02.25.20027615v1	10.1101/2020.02.25.20027615	2020	2020-02-25	reproduction+number	1.69	1-13 as shown in Figure 6), which gives mean control reproduction number of 1.69 with std 1.18.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033464v1	10.1101/2020.03.09.20033464	2020	2020-03-09	asymptomatic		Note that contact tracing is not triggered by asymptomatic infected individuals, who can infect susceptible individuals.
covid	https://www.medrxiv.org/content/10.1101/2020.02.17.20024257v1	10.1101/2020.02.17.20024257	2020	2020-02-17	reproduction+number	104	Basic reproduction number 104
covid	https://www.medrxiv.org/content/10.1101/2020.03.08.20030643v1	10.1101/2020.03.08.20030643	2020	2020-03-08	reproduction+number	7	Next, we estimate R, from 300 simulated curves assuming a Poisson error structure to derive the uncertainty bounds around our estimate of the reproduction number (7).
covid	https://www.medrxiv.org/content/10.1101/2020.03.08.20030643v1	10.1101/2020.03.08.20030643	2020	2020-03-08	reproduction+number	7	Next, we estimate R, from 300 simulated curves assuming a Poisson error structure to derive the uncertainty bounds around our estimate of the reproduction number (7).
covid	https://www.medrxiv.org/content/10.1101/2020.02.25.20027615v1	10.1101/2020.02.25.20027615	2020	2020-02-25	reproduction+number	7	Effective reproduction number Rt 7
covid	https://www.medrxiv.org/content/10.1101/2020.02.21.20026435v6	10.1101/2020.02.21.20026435	2020	2020-02-21	reproduction+number	10	3 | Reproduction number 10 20 30
covid	https://www.sciencedirect.com/science/article/pii/S2468042720300063	10.1016/j.idm.2020.02.003	2020		reproduction+number	1.0	Horizontal grey dashed line shows the reproduction number at 1.0 for reference, below which incidence declines.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		To estimate the effects of assumptions about asymptomatic transmission on the impor- tance of asymptomatic transmission and estimates of the basic reproduction number Ro, we parameterize the generation interval distributions of asymptomatic and symptomatic cases based on their means, G, and G,, and dispersions, kK, and k;.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		, decreased) if transmission is relatively faster (slower) along the asymptomatic route.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Thus, the realized pro- portion of asymptomatic infections will be increased (resp.
covid	https://www.sciencedirect.com/science/article/pii/S2468042720300063	10.1016/j.idm.2020.02.003	2020		asymptomatic		As for the crude asymptomatic ratios by age groups, they show significant differences across age groups.
flu	https://www.sciencedirect.com/science/article/pii/S1571064507000413	10.1016/j.plrev.2007.12.001	2008		asymptomatic		A biological model for influenza transmission: pandemic planning implications of asymptomatic infection and immunity.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Presumed asymptomatic carrier transmission of COVID-19.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Mizumoto, K., Kagaya, K., Zarebski, A. & Chowell, G. Estimating the asymptomatic ratio of 2019 novel coronavirus onboard the Princess Cruises Ship, 2020.
covid	https://www.medrxiv.org/content/10.1101/2020.02.17.20024257v1	10.1101/2020.02.17.20024257	2020	2020-02-17	asymptomatic		There is arecent revelation [13] that asymptomatic patients can be infectious, which would certainly prolong the infectious duration.
covid	https://www.medrxiv.org/content/10.1101/2020.02.15.20023440v2	10.1101/2020.02.15.20023440	2020	2020-02-15	asymptomatic		Transmission of 2019-nCoV infection from an asymptomatic contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1	10.1101/2020.03.10.20033852	2020	2020-03-10	reproduction+number	1	For early transmission following import from Wuhan, the reproduction number in most cities in Guangdong had an average reproduction number around 1, during the first five days.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1	10.1101/2020.03.10.20033852	2020	2020-03-10	reproduction+number	13	Assuming such a source for the initial cluster in Wuhan (“the Market’) led to an estimated basic reproduction number 13-6.
covid	http://wwwnc.cdc.gov/eid/article/10/8/04-0093_article.htm	10.3201/eid1008.040093			asymptomatic		These results are further supported by the fact that all contacts were asymptomatic 13 days after their last contact with the SARS patient.
covid	https://www.sciencedirect.com/science/article/pii/S1473309913701646	10.1016/S1473-3099(13)70164-6	2013		asymptomatic		Comorbidities and suppression seem to predispose for infection and severe disease,’* and unpublished serological studies suggest that asymptomatic infections occur.’
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		As the relative mean generation interval asymptomatic transmission, increases,
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Across the range of parameters we explore, the intrinsic proportion of asymptomatic transmission z is sim- ilar to the realized proportion q (Figure 1A).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		tomatic transmission on the importance of asymptomatic transmission and estimates of the basic reproduction number Ro, using a gamma assumption (see Methods).
covid	https://www.medrxiv.org/content/10.1101/2020.03.08.20030643v1	10.1101/2020.03.08.20030643	2020	2020-03-08	reproduction+number	3.0	58 59 60 61 For Region 3, using Method 1, we estimated a reproduction number of 3.0 (95% CI, 2.2, 4.2) with a growth rate of 0.96 (95% CI, 0.54, 1.6) and a scaling parameter of 0.80 (95% CI 0.63, 0.98).
covid	https://www.medrxiv.org/content/10.1101/2020.03.08.20030643v1	10.1101/2020.03.08.20030643	2020	2020-03-08	reproduction+number	3.6	, using Method 1, we estimated a reproduction number of 3.6 (95% CI: 3.1, 4.4) with a growth rate of 0.71 (95% CI: 0.54, 0.89) and a scaling parameter of 0.91 (95% CI: 0.85, 0.99).
covid	https://www.medrxiv.org/content/10.1101/2020.02.14.20022897v1	10.1101/2020.02.14.20022897	2020	2020-02-14	asymptomatic		Assuming that the asymptomatic ratio was 50% [18], we assumed that in total there were m=6 untraced cases the cases.
covid	https://www.medrxiv.org/content/10.1101/2020.02.25.20027615v1	10.1101/2020.02.25.20027615	2020	2020-02-25	reproduction+number	1.48	For each transmission chain we obtained when and who infected whom, and calculated the mean control reproduction number of 1.48 with standard deviation (std) 0.98.
covid	https://www.sciencedirect.com/science/article/pii/S2589750020300261	10.1016/S2589-7500(20)30026-1	2020		reproduction+number	2	A mean reproduction number of 2-5-2-7 has previously been estimated on the basis of the volume of importations of international cases in the pre-intervention period in Wuhan.”
covid	https://www.medrxiv.org/content/10.1101/2020.02.11.20022186v5	10.1101/2020.02.11.20022186	2020	2020-02-11	asymptomatic		As the number of infected individuals, especially of those with asymptomatic or mild courses, is suspected to be much higher than the official numbers, which can be considered only as a subset of the actual numbers of infected and recovered cases in the total population, we have repeated the calculations under a second scenario that considers twenty times the number of confirmed infected cases and forty times the number of recovered, leaving the number of deaths unchanged.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033464v1	10.1101/2020.03.09.20033464	2020	2020-03-09	asymptomatic		(E) Variation in number of infected (asymptomatic/symptomatic) individuals with detection rate function 5,(t).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	reproduction+number	10	The of the generation-interval distribution characterizes the relationship between the epidemic growth rate r and the reproduction number [10].
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Finally, the ratio of secondary case production caused by asymptomatic vs. symptomatic individuals during the a (3) Po [| (S13) t-q \6/1-plrt+% where g is the fraction of new secondary cases caused by asymptomatic individuals.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		This shows that the prevalence of asymptomatic and symptomatic individuals is different from p and 1 — p because prevalence measures the individuals that are currently infectious and does not account for individuals that have already recovered.
covid	https://www.medrxiv.org/content/10.1101/2020.03.14.20036202v1	10.1101/2020.03.14.20036202	2020	2020-03-14	reproduction+number	0.1	According to China's basic reproduction number (0.1) and South Korea's basic reproduction number (0.1), it will reach 84000 by the end of March.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1	10.1101/2020.03.10.20033852	2020	2020-03-10	reproduction+number	24	The rapid spread of COVID-19 in South Korea (from 31 cases on 18 February to 2,022 cases on 28 February) and Italy (from 20 cases on 21 February to 650 cases on 28 February), shows how missed infectious subjects may cause rapid transmission within a very short period, due to the combination of a short serial interval and an occasionally high reproduction number [24].
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1	10.1101/2020.03.10.20033852	2020	2020-03-10	reproduction+number	2	For those 425 initial cases, the mean reproduction number was 2-5 (until 31 December 2019).
covid	https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25738	10.1002/jmv.25738			asymptomatic		in- fection from an asymptomatic contact in Germany.
covid	https://www.sciencedirect.com/science/article/pii/S2468042720300063	10.1016/j.idm.2020.02.003	2020		asymptomatic		Estimating the asymptomatic ratio of 2019 novel coronavirus onboard the princess cruises ship (submitted for publication).
covid	https://www.sciencedirect.com/science/article/pii/S1286457920300265	10.1016/j.micinf.2020.01.004	2020		asymptomatic		In addition, the asymptomatic incuba- tion period for individuals infected with 2019-nCov was estimated to range from 1 to 14 days (most likely 3—10 days), longer than that of SARS-CoV.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033738v1	10.1101/2020.03.10.20033738	2020	2020-03-10	asymptomatic		Transmission of 2019-nCovV Infection from an Asymptomatic Contact in Germany.
covid	https://www.medrxiv.org/content/10.1101/2020.03.14.20035873v1	10.1101/2020.03.14.20035873	2020	2020-03-14	asymptomatic		Homogeneous transmissibility and the potential for transmission from asymptomatic sources [17] brings COVID-19’s behavior closer to other respiratory transmission viruses, such as measles or influenza [13].
covid	https://www.medrxiv.org/content/10.1101/2020.03.05.20031849v1	10.1101/2020.03.05.20031849	2020	2020-03-05	asymptomatic		; RP: 279 Reservoir-People; SEIARW: susceptible - exposed — symptomatic — asymptomatic — recovered 280 reservoir; SAR: secondary attack rate; P®: coefficient of determination.
covid	https://www.medrxiv.org/content/10.1101/2020.03.14.20036202v1	10.1101/2020.03.14.20036202	2020	2020-03-14	reproduction+number	4.2	(The basic reproduction number reached 4.2.
covid	https://www.sciencedirect.com/science/article/pii/S2214109X20300747	10.1016/S2214-109X(20)30074-7	2020		reproduction+number	2	In scenarios in which the reproduction number was 2-5, 15% of transmission occurred before symptom onset, and there was a short delay to isolation, at least 80% of infected contacts needed to be traced and isolated to give a probability of control of 90% or more.
covid	https://www.medrxiv.org/content/10.1101/2020.03.08.20030643v1	10.1101/2020.03.08.20030643	2020	2020-03-08	reproduction+number	3.6	65 66 67 Using Method 1, we estimated a reproduction number of 3.6 (95% CI, 3.2, 4.2) for the COVID- 19 epidemic in Iran.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		10 20 5 05 10 Relative mean asymptomatic generation interval, Gu/Gs Relative mean asymptomatic generation interval, Ga/Gs  
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		A. Realized proportion of asymptomatic transmission B. Basic reproduction number         Ro 0.0: 0
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		oO 02       Intrinsic proportion of asymptomatic transmission, 2 10 20 Relative asymptomatic generation-interval dispersion, Relative asymptomatic generation interval dispersion, alts
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	reproduction+number	10	        B. Basic reproduction number 10
covid	https://www.medrxiv.org/content/10.1101/2020.02.21.20026435v6	10.1101/2020.02.21.20026435	2020	2020-02-21	asymptomatic		On the other hand, it is not clear if asymptomatic or subclinical cases are as infectious as symptomatic cases.
covid	https://www.medrxiv.org/content/10.1101/2020.02.21.20026435v6	10.1101/2020.02.21.20026435	2020	2020-02-21	asymptomatic		While large-scale transmission has not been reported in Singapore, the fact that asymptomatic and subclinical cases are now well documented for COVID-19 (49) suggests that our estimates could be underestimated (50).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20032045v1	10.1101/2020.03.09.20032045	2020	2020-03-09	asymptomatic		20 days isolation Proportion of asymptomatic 34.6% (20% and 50% used in (13, 14) or very mild infectious sensitivity analyses)
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20032045v1	10.1101/2020.03.09.20032045	2020	2020-03-09	asymptomatic		Table 1: Parameters used in the model rate (%) for the 18 age groups   0.2, 0.4, 0.4, 1.3, 1.3, 3.6, 3.6, 8, 8, 14.8, 14.8   Parameter Value Source Basic reproduction number 2.2 (1) Infectious period 12.2 days of which 5.2 (1) asymptomatic and 7 symptomatic Time to isolation once 5 days (15)
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20032045v1	10.1101/2020.03.09.20032045	2020	2020-03-09	reproduction+number	2.2	Table 1: Parameters used in the model rate (%) for the 18 age groups   0.2, 0.4, 0.4, 1.3, 1.3, 3.6, 3.6, 8, 8, 14.8, 14.8   Parameter Value Source Basic reproduction number 2.2 (1) Infectious period 12.2 days of which 5.2 (1) asymptomatic and 7 symptomatic Time to isolation once 5 days (15)
covid	https://www.medrxiv.org/content/10.1101/2020.03.13.20035238v1	10.1101/2020.03.13.20035238	2020	2020-03-13	reproduction+number	2.2	(2020) estimate a basic reproduction number of 2.2.
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033738v1	10.1101/2020.03.10.20033738	2020	2020-03-10	asymptomatic		The rows differ in the fraction of asymptomatic infections: 100% symptomatic (A and B), 80% (C and D), and 60% (E and F).
covid	https://www.medrxiv.org/content/10.1101/2020.02.25.20027615v1	10.1101/2020.02.25.20027615	2020	2020-02-25	reproduction+number	1.48	Based on the complete epidemic data including the symptom onset time and transmission chains, we calculate the control reproduction number (1.48-1.69) in Xi’an.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Increasing the speed of asymptomatic transmission (shorter generation intervals) decreases the basic reproduction number Ro.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		where we define the “intrinsic” proportion of asymptomatic transmission z as the contribution of cases to the basic reproduction number:
covid	https://www.medrxiv.org/content/10.1101/2020.03.10.20033738v1	10.1101/2020.03.10.20033738	2020	2020-03-10	reproduction+number	1.4	For this scenario, the effective reproduction number is 1.4, the exponential growth rate is 0.05, and the doubling time is 14.4 days.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		] jc proportion of   vo Relative mean asymptomatic generation interval, Ga/Gs
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20028449v3	10.1101/2020.02.26.20028449	2020	2020-02-26	reproduction+number	2.2	stochastic model and estimate the basic reproduction number at 2.2
covid	https://www.medrxiv.org/content/10.1101/2020.01.30.20019844v4	10.1101/2020.01.30.20019844	2020	2020-01-30	reproduction+number	3.15	333 Parameter Definition Mean 95%BCI p Reporting rate (proportion) 0.002 0.001-0.003 Ro Basic reproduction number 3.15 3.04
covid	https://www.sciencedirect.com/science/article/pii/S2214109X20300747	10.1016/S2214-109X(20)30074-7	2020		asymptomatic		The percentage of outbreaks controlled for the baseline scenario, and varied number of initial cases (A), time from onset to isolation (B), percentage of transmission before symptoms (C), and proportion of subclinical (asymptomatic) cases (D).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		v0 Relative mean asymptomatic generation interval, Ga/Gs
covid	https://www.medrxiv.org/content/10.1101/2020.03.08.20030643v1	10.1101/2020.03.08.20030643	2020	2020-03-08	reproduction+number	95	Basic reproduction number (95% CI) §
covid	https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25763	10.1002/jmv.25763			asymptomatic		Based on the available evidence, it appears that SARS-CoV-2 can be transmitted by asymptomatic carriers, which contributes to its basic reproduction number (Ro) and pandemic potential ©’.
covid	https://www.medrxiv.org/content/10.1101/2020.02.24.20027649v2	10.1101/2020.02.24.20027649	2020	2020-02-24	reproduction+number	1.0	Horizontal grey dashed line shows the reproduction number at 1.0 for
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20028431v1	10.1101/2020.02.26.20028431	2020	2020-02-26	reproduction+number	1.54	The basic reproduction number is 1.54 with contact tracing, and isolation.
covid	https://www.medrxiv.org/content/10.1101/2020.03.14.20036202v1	10.1101/2020.03.14.20036202	2020	2020-03-14	reproduction+number	4.2	(The reproduction number reaches 4.2, which is caused by the lack of attention paid by the public to the epidemic in the early
covid	https://www.medrxiv.org/content/10.1101/2020.03.14.20036202v1	10.1101/2020.03.14.20036202	2020	2020-03-14	reproduction+number	0.1	According to the basic reproduction number (0.1) after China's control and the basic reproduction number (0.1) of South Korea, our model predicts that by the end of March, the number of confirmed cases in Italy will reach 84000 (yellow line).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		asymptomatic cases
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		ically, if asymptomatic cases have a shorter generation interval than symptomatic cases, Ro will be over-estimated, and if they have a longer generation interval, Ro will be under- estimated.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		If the generation-interval distribution of asymptomatic transmission dif- fers from that of symptomatic transmission, then estimates of the basic reproduction which do not explicitly account for asymptomatic cases may be systematically biased.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		We show that the impact of asymptomatic transmission depends on intervals (i.e., time between when an individual is infected and when that individual infects another person).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		We also show that as the length of asymptomatic generation intervals increase, estimates of the realized proportion of asymptomatic transmission during the phase of the epidemic decrease.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		We assess the impact of asymptomatic transmission on epidemic potential of novel respira- tory pathogens (like COVID-19) — as measured both by the basic reproduction number (i.e., the expected number of secondary cases generated by an average primary case in a fully sus- ceptible population) and the fraction of new secondary cases attributable to asymptomatic individuals.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Our analysis provides a rationale for assessing the of asymptomatic cases of COVID-19 in addition to their prevalence in the population.
covid	https://www.medrxiv.org/content/10.1101/2020.02.18.20024315v1	10.1101/2020.02.18.20024315	2020	2020-02-18	reproduction+number	3.39	Over the entire epidemic period COVID-19 had a basic reproduction number of 3.39 (95%
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		First, the proportion of infections that are asymptomatic (see [2]) is critical to attempts to estimate the likely burden of severe outcomes (including mortality [3]) when the virus spreads through a population.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		There is significant ongoing interest in asymptomatic infections in COVID-19 for two major reasons.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Asymptomatic individuals are hard to trace, unlikely to self-isolate, and are likely to retain normal social and travel patterns.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Second, understanding the possible role of transmission by asymptomatic individuals is crucial to planning surveillance and control efforts [1, 4].
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		However, infected individuals who are asymptomatic yet infectious can be critical factor in the spread of some pathogens [1].
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		If asymptomatic cases are important for transmission, they also have the potential to affect estimates of key parameters of disease spread such as the basic reproduction number Ro (i.e., the expected number of secondary cases generated by an average primary case in a fully susceptible population [5]).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Thus, we investigate the rela- tionship between individual-level features of asymptomatic cases (e.g., the probability that an infection is asymptomatic, asymptomatic case duration, transmission by asymptomatic individuals) to dynamics at the population scale.
covid	https://www.sciencedirect.com/science/article/pii/S0140673620304669	10.1016/S0140-6736(20)30466-9	2020		asymptomatic		asymptomatic infections can be a source of infection.”
covid	https://www.sciencedirect.com/science/article/pii/S0140673620304669	10.1016/S0140-6736(20)30466-9	2020		reproduction+rate	2	(1) the number of cases COVID-19-related pneumonia have been doubling approximately every 7-4 days; (2) the basic reproduction rate is 2-2;
covid	https://www.medrxiv.org/content/10.1101/2020.02.26.20028191v1	10.1101/2020.02.26.20028191	2020	2020-02-26	incubation+time	7	Median incubation time was 7 days (IQR 5.0-10.0).
covid	https://www.medrxiv.org/content/10.1101/2020.03.03.20029983v1	10.1101/2020.03.03.20029983	2020	2020-03-03	incubation+time	5.46	The estimated median incubation time is 5.46, with (0.025, 0.975)
